TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
aeriform,-0.018979138054840135,-0.04949426979655121,-0.026418323701472488,-0.025868911895737118,-0.014012762381223419
aerose,-0.018979981833129243,-0.0494946507260241,-0.026423085365751893,-0.025868911895737118,-0.014012762381223419
aery,-0.018953342547144668,-0.04940475137042183,-0.026288469148519587,-0.025807566633810092,-0.013542072409113776
aeschylean,-0.018979981833129243,-0.04949426979655121,-0.026366540602433975,-0.025868843582527844,-0.014012834253260692
aeschynomenous,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
aesopian,-0.01897974075361807,-0.049480937265000025,-0.026423085365751893,-0.025868638642900024,-0.01401261863714887
aesthete,-0.018685864829498675,-0.048698508127681936,-0.026085106403253396,-0.025657824079083992,-0.013861184254611839
aesthetic,-0.011988676009123973,0.043071211186485665,0.009884307160682558,0.705082427323825,0.14266820700479688
aestival,-0.018979981833129243,-0.049491222360768083,-0.0264232837684302,-0.02586877526931857,-0.014012762381223419
aestuous,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
afald,-0.018979981833129243,-0.0494946507260241,-0.0264232837684302,-0.025868911895737118,-0.014012762381223419
afeard,-0.018978896975328965,-0.048260439233857304,-0.025920432180257358,-0.025868706956109298,-0.014012546765111595
affable,-0.011434193133427003,-0.0437807086326593,0.006908266986055352,-0.024345527328952423,-0.013236616250697839
affected,0.15339186865527651,-0.023934283095038894,-0.020699465700569696,-0.02384684090126057,2.89701164332635e-4
affectionate,0.13048931509387995,0.020215442813026462,0.040934326315959745,0.015870458969978067,0.008123753227235513
affective,-0.0178613729012884,-0.04725859472015401,-0.02537184877473441,-0.025314208636441522,-0.01373181458751803
affirmative,-0.017810746203942154,-0.049056581832199464,-0.023159658911594855,-0.024325033366170565,-0.01307131056496686
afflicted,0.018507882154209357,-0.019591687104081646,-0.018447595301768444,-0.022767492194749443,-0.012431649433225249
afflicting,-0.018962383028813642,-0.049342278936867705,-0.025601003868180705,-0.025859757925694553,-0.014012331148999772
affluent,0.03345481184691028,-0.025953209301361125,-0.022167645520052452,-0.024577792240480133,-0.013499667907121917
affrighted,-0.018917301160224366,-0.04863375011729047,-0.02601169741227926,-0.025542374755412864,-0.013915807002940336
affronted,-0.01874975089995941,-0.04795950495027342,-0.025992849157839955,-0.025745264986953245,-0.013928025249276972
affrontive,-0.01897974075361807,-0.0494946507260241,-0.026423184567091047,-0.025868911895737118,-0.014012834253260692
afire,-0.018634032734596566,-0.04573106753386115,-0.024885762212878634,-0.02481688847293513,-0.013471637812584925
aflame,-0.018378488452753614,-0.04320931442332282,-0.02391358908916708,-0.02394247939424257,-0.01329627004163554
aflare,-0.018979981833129243,-0.04949426979655121,-0.026419216513524878,-0.025868365390062934,-0.014012762381223419
aflaunt,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
aflow,-0.018979861293373656,-0.04949388886707832,-0.026420605332273035,-0.025868843582527844,-0.01399393190745754
aflush,-0.018979861293373656,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
aflutter,-0.018979138054840135,-0.049492746078659645,-0.025725997555515048,-0.02548294226334548,-0.01378284373398281
afraid,0.0268251252896639,0.08611624162316715,0.018118018310484495,-0.007629285019884492,-0.009650201590708356
afrown,-0.018979981833129243,-0.0494946507260241,-0.0264232837684302,-0.025868911895737118,-0.014012834253260692
afterwise,-0.018979981833129243,-0.0494946507260241,-0.0264232837684302,-0.025868911895737118,-0.014012834253260692
afterwitted,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
agacant,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012690509186144
agasp,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
agathokakological,-0.018968651096104128,-0.0494946507260241,-0.026418323701472488,-0.02584992082355926,-0.014012762381223419
agensic,-0.018979981833129243,-0.0494946507260241,-0.026423382969769357,-0.025868911895737118,-0.014012834253260692
agglomerative,-0.018979620213862482,-0.0494946507260241,-0.02642278776173443,-0.025868843582527844,-0.014012834253260692
agglutinative,-0.018978896975328965,-0.0494946507260241,-0.026423085365751893,-0.025868911895737118,-0.014012834253260692
aggravating,-0.01738885705939011,-0.039628577378147546,-0.02204860391306736,-0.02485104507757156,-0.013121620991058897
aggravative,-0.018978896975328965,-0.0494946507260241,-0.0264232837684302,-0.025868911895737118,-0.014012834253260692
aggregative,-0.018935141044051137,-0.0494946507260241,-0.026422490157716968,-0.025868911895737118,-0.014012834253260692
aggressive,0.037432623781258105,0.8037873685497862,0.12733869271930295,0.002890949208135374,-0.0030882845875612663
