TDA,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore,freq_index
aloof,-0.11066643798527788,-0.05102829887912649,-0.04183290650335488,-0.04677297063106812,-0.05804981325276921,-0.06662938018706042
alterable,NA,NA,NA,NA,NA,NA
altercating,NA,NA,NA,NA,NA,NA
altercative,NA,NA,NA,NA,NA,NA
altered,-0.1144062901055808,-0.05372126555660999,-0.03620062664962708,-0.04981222759688532,-0.06038365026854415,-0.06958085838190506
altiloquent,NA,NA,NA,NA,NA,NA
altisonant,NA,NA,NA,NA,NA,NA
altitudinarian,NA,NA,NA,NA,NA,NA
altruistic,-0.06864777599009986,-0.05395572907239599,-0.04748540664553687,-0.04983904536827405,NA,-0.057480850143589966
amain,NA,NA,NA,NA,NA,NA
amative,NA,NA,NA,NA,NA,NA
amatory,NA,NA,NA,NA,NA,NA
amazed,-0.1286410771782096,-0.05606668585368947,-0.04893353355460905,-0.04851053340928569,-0.05674325206451485,-0.07259613716275574
amazing,0.6417389958818098,0.6051923004941951,0.15274887129243198,0.05284725290843921,-0.02161882009279068,0.19729240115056892
ambagious,NA,NA,NA,NA,NA,NA
ambidextrous,-0.1249093875472181,NA,-0.05070158614075917,NA,NA,-0.1249093875472181
ambiguous,-0.11736966036985988,-0.05252947512091287,-0.04772058912079312,-0.04949740550959888,-0.05847167649653539,-0.06946705437422676
ambitious,0.1155176301307012,0.0789858525509889,0.1658747043757504,-0.00691672300917084,-0.01886808153477076,0.04217966953443712
ambivalent,-0.10970221887509116,-0.0561840583164873,-0.04825609293931249,NA,-0.06001679254081881,-0.07530102324413242
ambling,NA,NA,-0.05075287562368954,NA,NA,NA
ameliorative,NA,NA,NA,NA,NA,NA
amenable,-0.1231822291531862,-0.05662610456819442,-0.04993315473535272,-0.04900074020188624,-0.05973413767827369,-0.07236890653375176
amending,NA,NA,NA,NA,NA,NA
amiable,-0.0406169141650965,-0.00495267934270005,0.01665599636047605,-0.02628438336587886,-0.04323966239206688,-0.02877340981643557
amicable,-0.1245732376211698,-0.05706216515719322,-0.04877038402276476,NA,NA,-0.09081770138918151
amiss,NA,NA,NA,NA,NA,NA
amnesic,-0.12284538613155424,-0.05678777830668389,-0.05074164816573946,NA,NA,-0.08981658221911906
amoeboid,NA,NA,NA,NA,NA,NA
amoral,-0.10300227580639044,-0.05354912173505646,-0.04491259786633197,-0.04908935423100389,NA,-0.0685469172574836
amorevolous,NA,NA,NA,NA,NA,NA
amorous,-0.1238289188370643,-0.03648310397981505,-0.03441049507517919,-0.04873283129412186,-0.05709278069782328,-0.06653440870220613
amorphic,NA,NA,NA,NA,NA,NA
amorphous,-0.12991021323670304,NA,-0.05095364520311898,NA,NA,-0.12991021323670304
amort,NA,NA,NA,NA,NA,NA
amphibious,-0.13038654775900776,NA,-0.04968971579280999,NA,-0.06038440067789496,-0.09538547421845137
amplifying,NA,NA,-0.05105641334617884,NA,NA,NA
ampullous,NA,NA,NA,NA,NA,NA
amurcous,NA,NA,NA,NA,NA,NA
amusing,-0.09516738871948396,-0.05036411380820396,-0.03910429066056484,-0.04724444701302724,-0.05462793278363898,-0.06185097058108854
anachronistic,NA,NA,-0.05061009785750781,NA,NA,NA
anachronous,NA,NA,NA,NA,NA,NA
anal,-0.1248657024772296,NA,-0.05073833386812413,NA,NA,-0.1248657024772296
analgesic,NA,NA,NA,NA,NA,NA
analytical,-0.0566251738825134,-0.05641407976965192,-0.04722548665538937,NA,NA,-0.05651962682608266
anarchistic,NA,NA,NA,NA,NA,NA
ancestral,-0.12875848384683697,-0.05391377209838282,-0.04886949125968651,-0.04955539248589331,NA,-0.07740921614370437
anchor,-0.08475662048808424,-0.03660310390925575,-0.03208204093065771,-0.04965974672634163,-0.05977206951992187,-0.05769788516090087
ancient,-0.05962546151073084,0.09882594619446874,0.15757974697892962,-0.04830762301672462,-0.05306439841310664,-0.015542884186523338
ancipital,NA,NA,NA,NA,NA,NA
andante,NA,NA,NA,NA,NA,NA
anecdotal,NA,NA,-0.05086427932211657,NA,NA,NA
angelic,-0.11753216837197208,-0.03688903031711621,-0.04675216552895519,-0.03723329878702037,-0.04507333561843189,-0.06164774207659488
angler,NA,NA,NA,NA,NA,NA
anglican,NA,-0.05387509901888456,-0.05032409291642224,-0.04946908170710576,NA,-0.0520995959676534
anglo-catholic,NA,NA,NA,NA,NA,NA
angry,1.045999310372891,0.28300111945671397,0.3999199718270503,0.01952068174222624,0.06942783368469162,0.19296740167767054
anguine,NA,NA,NA,NA,NA,NA
anguished,-0.12550300386638388,-0.04668304532763231,-0.04523224355889777,-0.04790199935609262,-0.05838405391786056,-0.06961802561699235
angular,-0.12181808243511556,-0.00714042706904125,-0.01960445298027499,-0.04363176619535738,-0.05694839232191573,-0.060500673483165915
angulate,NA,NA,NA,NA,NA,NA
anile,NA,NA,NA,NA,NA,NA
animal,0.01534789066445449,-0.05210596681354906,0.01047686628906545,-0.04450147586161047,-0.05378707006414229,-0.03497941161255909
animal-spirits,NA,NA,NA,NA,NA,NA
animated,-0.10625794910895878,-0.04625445994266289,-0.03424971985263284,-0.04291078098341767,-0.05437547227001153,-0.06244966557626272
animating,NA,NA,-0.05058256980961827,NA,NA,NA
animative,NA,NA,NA,NA,NA,NA
animose,NA,NA,NA,NA,NA,NA
anisometric,NA,NA,NA,NA,NA,NA
annihilative,NA,NA,NA,NA,NA,NA
annoyed,-0.1212365222558643,-0.05137585345025262,-0.04871470457908467,-0.04868323656445274,NA,-0.07377569342840053
annoying,0.06103945804742503,-0.02472242053376292,-0.02535095872664787,-0.02164710141783703,-0.03339786397298706,-0.02627958616280872
anomalous,-0.1271131264838466,-0.05558086896807318,-0.05062103311231101,NA,NA,-0.09134699772595989
anormal,NA,NA,NA,NA,NA,NA
answerable,NA,NA,NA,NA,NA,NA
antagonistic,-0.12059810675851976,-0.05672524740883126,-0.05025028700113972,NA,NA,-0.0886616770836755
antagonizing,NA,NA,NA,NA,NA,NA
anthropoid,NA,NA,-0.05087862868356749,NA,NA,NA
anti-racist,NA,NA,NA,NA,NA,NA
antialcoholic,NA,NA,NA,NA,NA,NA
anticipative,NA,NA,NA,NA,NA,NA
antiquarian,NA,NA,NA,NA,NA,NA
antiquated,-0.13018182078454865,-0.05721723904582634,-0.05068371913877873,-0.04987696710245559,NA,-0.07936092632305124
antisocial,-0.07811176706215729,-0.05513132469532509,-0.04855872368919487,-0.0491012360589816,-0.05669830090613947,-0.059760657180650864
antrorse,NA,NA,NA,NA,NA,NA
anxious,0.3645843921420257,-0.00947947498431844,-0.02444082281961684,-0.02827065751591252,-0.03246374581755374,-0.023663675284350386
anythingarian,NA,NA,NA,NA,NA,NA
apache,-0.1290772578379632,-0.01155254675059104,-0.04320590009627245,-0.02872424694110907,-0.0306240408063588,-0.05790786142042588
apathetic,-0.11016976339881844,-0.05600786184264361,-0.04955176853547353,-0.04925286821899336,-0.05950005219395644,-0.068807361492723
aphasic,-0.10013310353279656,-0.05714720123414874,-0.04819210764587297,-0.05024198843451414,-0.06049514967278727,-0.06700436071856168
aphonic,NA,NA,NA,NA,NA,NA
aphoristic,NA,NA,NA,NA,NA,NA
aphrodisiac,NA,NA,NA,NA,NA,NA
aping,NA,-0.05756986765228987,-0.05079444499927321,NA,NA,-0.05756986765228987
apish,NA,NA,-0.05023228017621453,NA,NA,NA
aplastic,NA,NA,NA,NA,NA,NA
aplomb,NA,NA,NA,NA,NA,NA
apocryphal,-0.1300773291788339,NA,NA,NA,NA,NA
apodal,NA,NA,NA,NA,NA,NA
apolaustic,NA,NA,NA,NA,NA,NA
apolitical,-0.11371550006717028,-0.05472463194045498,-0.0464411123866773,NA,NA,-0.08422006600381263
apollonian,NA,NA,-0.05014789992145947,NA,NA,NA
apologetic,-0.1253052897590574,-0.05581401728790879,-0.04887158705183719,-0.04983516189634963,-0.05974316961117722,-0.07267440963862326
apoplectic,-0.13037282375044393,-0.05774605072845239,-0.05026550696147892,NA,NA,-0.09405943723944815
aposematic,NA,NA,NA,NA,NA,NA
apostate,-0.12915616347652423,-0.05527710141230042,-0.05028292571169804,NA,NA,-0.09221663244441232
apostic,NA,NA,NA,NA,NA,NA
apothegmatic,NA,NA,NA,NA,NA,NA
appalled,NA,-0.05756672797298928,-0.05086464830795422,NA,NA,-0.05756672797298928
appalling,-0.12488633066293682,-0.05337524674587965,-0.04830714058921832,-0.0495252179831116,NA,-0.07592893179730936
apparent,-0.12247414036549811,-0.05644799029527363,-0.04849148818248061,-0.04977161929484246,-0.05947401264906554,-0.07204194065116994
appealing,-0.09357759356443804,-0.03112039249213565,-0.03955405211463327,-0.04446233231399846,-0.05753716047734079,-0.05878278461760264
appeasing,NA,NA,-0.05097562943350585,NA,NA,NA
appetent,NA,NA,NA,NA,NA,NA
appetizing,NA,-0.05714015235720524,NA,-0.05020702852566374,NA,-0.05714015235720524
applause-seeking,NA,NA,NA,NA,NA,NA
