TDA,coded,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
amurcous,[amurcous person],NA,NA,NA,NA,NA
amusing,[amusing person],-0.09516738871948395,-0.050364113808203964,-0.039104290660564846,-0.04724444701302724,-0.054627932783638984
anachronistic,[anachronistic person],NA,NA,-0.050610097857507814,NA,NA
anachronous,[anachronous person],NA,NA,NA,NA,NA
anal,[anal person],-0.12486570247722961,NA,-0.05073833386812413,NA,NA
analgesic,[analgesic person],NA,NA,NA,NA,NA
analytical,[analytical person],-0.0566251738825134,-0.05641407976965192,-0.04722548665538937,NA,NA
anarchistic,[anarchistic person],NA,NA,NA,NA,NA
ancestral,[ancestral person],-0.12875848384683697,-0.05391377209838282,-0.04886949125968651,-0.04955539248589331,NA
anchor,[anchor person],-0.08475662048808424,-0.03660310390925575,-0.03208204093065771,-0.04965974672634163,-0.059772069519921874
ancient,[ancient person],-0.05962546151073084,0.09882594619446874,0.15757974697892962,-0.04830762301672462,-0.053064398413106645
ancipital,[ancipital person],NA,NA,NA,NA,NA
andante,[andante person],NA,NA,NA,NA,NA
anecdotal,[anecdotal person],NA,NA,-0.050864279322116575,NA,NA
angelic,[angelic person],-0.11753216837197207,-0.03688903031711621,-0.04675216552895519,-0.03723329878702037,-0.045073335618431895
angler,[angler person],NA,NA,NA,NA,NA
anglican,[anglican person],NA,-0.05387509901888456,-0.050324092916422244,-0.04946908170710576,NA
anglo-catholic,[anglo - catholic person],NA,NA,NA,NA,NA
angry,[angry person],1.045999310372891,0.28300111945671397,0.3999199718270503,0.019520681742226244,0.06942783368469162
anguine,[anguine person],NA,NA,NA,NA,NA
anguished,[anguished person],-0.12550300386638388,-0.046683045327632317,-0.045232243558897774,-0.04790199935609262,-0.058384053917860564
angular,[angular person],-0.12181808243511556,-0.007140427069041256,-0.019604452980274998,-0.043631766195357385,-0.05694839232191573
angulate,[angulate person],NA,NA,NA,NA,NA
anile,[anile person],NA,NA,NA,NA,NA
animal,[animal person],0.01534789066445449,-0.05210596681354906,0.010476866289065455,-0.04450147586161047,-0.05378707006414229
animal-spirits,[animal - spirits person],NA,NA,NA,NA,NA
animated,[animated person],-0.10625794910895878,-0.04625445994266289,-0.034249719852632844,-0.04291078098341767,-0.054375472270011535
animating,[animating person],NA,NA,-0.050582569809618276,NA,NA
animative,[animative person],NA,NA,NA,NA,NA
animose,[animose person],NA,NA,NA,NA,NA
anisometric,[anisometric person],NA,NA,NA,NA,NA
annihilative,[annihilative person],NA,NA,NA,NA,NA
annoyed,[annoyed person],-0.1212365222558643,-0.051375853450252626,-0.04871470457908467,-0.04868323656445274,NA
annoying,[annoying person],0.061039458047425034,-0.024722420533762925,-0.025350958726647877,-0.021647101417837034,-0.033397863972987066
anomalous,[anomalous person],-0.1271131264838466,-0.05558086896807318,-0.05062103311231101,NA,NA
anormal,[anormal person],NA,NA,NA,NA,NA
answerable,[answerable person],NA,NA,NA,NA,NA
antagonistic,[antagonistic person],-0.12059810675851976,-0.05672524740883126,-0.05025028700113972,NA,NA
antagonizing,[antagonizing person],NA,NA,NA,NA,NA
anthropoid,[anthropoid person],NA,NA,-0.05087862868356749,NA,NA
anti-racist,[anti-racist person],NA,NA,NA,NA,NA
antialcoholic,[antialcoholic person],NA,NA,NA,NA,NA
anticipative,[anticipative person],NA,NA,NA,NA,NA
antiquarian,[antiquarian person],NA,NA,NA,NA,NA
antiquated,[antiquated person],-0.13018182078454865,-0.05721723904582634,-0.050683719138778734,-0.049876967102455594,NA
antisocial,[antisocial person],-0.07811176706215729,-0.05513132469532509,-0.04855872368919487,-0.0491012360589816,-0.056698300906139476
antrorse,[antrorse person],NA,NA,NA,NA,NA
anxious,[anxious person],0.36458439214202565,-0.00947947498431844,-0.024440822819616848,-0.02827065751591252,-0.03246374581755374
anythingarian,[anythingarian person],NA,NA,NA,NA,NA
apache,[apache person],-0.1290772578379632,-0.01155254675059104,-0.043205900096272454,-0.02872424694110907,-0.030624040806358804
apathetic,[apathetic person],-0.11016976339881845,-0.056007861842643614,-0.04955176853547353,-0.04925286821899336,-0.059500052193956446
aphasic,[aphasic person],-0.10013310353279656,-0.057147201234148744,-0.04819210764587297,-0.05024198843451414,-0.060495149672787275
aphonic,[aphonic person],NA,NA,NA,NA,NA
aphoristic,[aphoristic person],NA,NA,NA,NA,NA
aphrodisiac,[aphrodisiac person],NA,NA,NA,NA,NA
aping,[aping person],NA,-0.05756986765228987,-0.05079444499927321,NA,NA
apish,[apish person],NA,NA,-0.05023228017621453,NA,NA
aplastic,[aplastic person],NA,NA,NA,NA,NA
aplomb,[aplomb person],NA,NA,NA,NA,NA
apocryphal,[apocryphal person],-0.1300773291788339,NA,NA,NA,NA
apodal,[apodal person],NA,NA,NA,NA,NA
apolaustic,[apolaustic person],NA,NA,NA,NA,NA
apolitical,[apolitical person],-0.11371550006717028,-0.05472463194045498,-0.0464411123866773,NA,NA
apollonian,[apollonian person],NA,NA,-0.050147899921459474,NA,NA
apologetic,[apologetic person],-0.12530528975905741,-0.055814017287908795,-0.048871587051837195,-0.049835161896349636,-0.059743169611177226
apoplectic,[apoplectic person],-0.13037282375044393,-0.05774605072845239,-0.050265506961478926,NA,NA
aposematic,[aposematic person],NA,NA,NA,NA,NA
apostate,[apostate person],-0.12915616347652423,-0.05527710141230042,-0.05028292571169804,NA,NA
apostic,[apostic person],NA,NA,NA,NA,NA
apothegmatic,[apothegmatic person],NA,NA,NA,NA,NA
appalled,[appalled person],NA,-0.057566727972989284,-0.05086464830795422,NA,NA
appalling,[appalling person],-0.12488633066293682,-0.05337524674587965,-0.048307140589218325,-0.0495252179831116,NA
apparent,[apparent person],-0.12247414036549811,-0.056447990295273635,-0.04849148818248061,-0.049771619294842466,-0.059474012649065544
appealing,[appealing person],-0.09357759356443804,-0.03112039249213565,-0.03955405211463327,-0.04446233231399846,-0.057537160477340796
appeasing,[appeasing person],NA,NA,-0.05097562943350585,NA,NA
appetent,[appetent person],NA,NA,NA,NA,NA
appetizing,[appetizing person],NA,-0.057140152357205244,NA,-0.05020702852566374,NA
applause-seeking,[applause - seeking person],NA,NA,NA,NA,NA
apposite,[apposite person],NA,NA,NA,NA,NA
