TDA,coded,person_zscore,woman_zscore,man_zscore,girl_zscore,boy_zscore
alluring,[alluring person],-0.12342139569831341,2.598233399736504e-4,-0.04755520479298193,-0.04500404329939696,-0.059142285181918296
almighty,[almighty person],-0.12728432190820815,NA,-0.0489830026024048,NA,NA
alone,[alone person],-0.10778662734341926,-0.046924909645527445,-0.03457061370196044,-0.0475269706888214,-0.056919862833452725
aloof,[aloof person],-0.11087582416436431,-0.05110119086618572,-0.04190544239335127,-0.0468539118460378,-0.05814675883862283
alterable,[alterable person],NA,NA,NA,NA,NA
altercating,[altercating person],NA,NA,NA,NA,NA
altercative,[altercative person],NA,NA,NA,NA,NA
altered,[altered person],-0.1146086036563396,-0.05378994942486917,-0.036281040523195265,-0.0498888170336753,-0.06047308526918715
altiloquent,[altiloquent person],NA,NA,NA,NA,NA
altisonant,[altisonant person],NA,NA,NA,NA,NA
altitudinarian,[altitudinarian person],NA,NA,NA,NA,NA
altruistic,[altruistic person],-0.06889993217605991,-0.054024237165423726,-0.04754844198512202,-0.04991469015482394,NA
amain,[amain person],NA,NA,NA,NA,NA
amative,[amative person],NA,NA,NA,NA,NA
amatory,[amatory person],NA,NA,NA,NA,NA
amazed,[amazed person],-0.12882462976754044,-0.056132242571710116,-0.04899596465080295,-0.04858931865856487,-0.056840263179138054
amazing,[amazing person],0.6407000190647275,0.6044066942702306,0.15234494203604482,0.05253404650176338,-0.021780330104060837
ambagious,[ambagious person],NA,NA,NA,NA,NA
ambidextrous,[ambidextrous person],-0.12509757101041877,NA,-0.05076187467485509,NA,NA
ambiguous,[ambiguous person],-0.1175733744942188,-0.052600398702253026,-0.04778175885628881,-0.04957440495778153,-0.05856598368468009
ambitious,[ambitious person],0.11496448601870717,0.07874913771927304,0.16556059572894644,-0.007081440015827224,-0.01905271528287816
ambivalent,[ambivalent person],-0.10990329923925196,-0.05625084708874895,-0.04831827494650811,NA,-0.06010766978944661
ambling,[ambling person],NA,NA,-0.05081256755543831,NA,NA
ameliorative,[ameliorative person],NA,NA,NA,NA,NA
amenable,[amenable person],-0.12337133926834438,-0.05669196241074069,-0.049994605944782555,-0.04907935795773946,-0.0598244011529588
amending,[amending person],NA,NA,NA,NA,NA
amiable,[amiable person],-0.0408969350676783,-0.0050919863943897714,0.016525217516245406,-0.0264087807448301,-0.04337836964144115
amicable,[amicable person],-0.12476147783776967,-0.05712665088698156,-0.0488328119111827,NA,NA
amiss,[amiss person],NA,NA,NA,NA,NA
amnesic,[amnesic person],-0.12303381591198188,-0.05685263355451252,-0.05080160617103205,NA,NA
amoeboid,[amoeboid person],NA,NA,NA,NA,NA
amoral,[amoral person],-0.10322434129767168,-0.053618761624414105,-0.044979702133000676,-0.049166992722920314,NA
amorevolous,[amorevolous person],NA,NA,NA,NA,NA
amorous,[amorous person],-0.12401635212308801,-0.03656600281252925,-0.034491714276928195,-0.0488110882684103,-0.0571905016581226
amorphic,[amorphic person],NA,NA,NA,NA,NA
amorphous,[amorphous person],-0.13009048537227125,NA,-0.051013366592145386,NA,NA
amort,[amort person],NA,NA,NA,NA,NA
amphibious,[amphibious person],-0.13056587843860556,NA,-0.0497511448618259,NA,-0.06047382819929408
amplifying,[amplifying person],NA,NA,-0.05111596402305339,NA,NA
